store_id,latitude,longitude,daily_customers
ST-001,40.779874,-73.979307,318
ST-002,40.772009,-73.963261,351
ST-003,40.737943,-73.942013,258
ST-004,40.757923,-73.954492,348
ST-005,40.800641,-73.977253,266
ST-006,40.720647,-74.009093,355
ST-007,40.802854,-73.973553,334
ST-008,40.732617,-74.011281,375
ST-009,40.803884,-73.996289,267
ST-010,40.746034,-73.994652,265
ST-011,40.768204,-73.958049,248
ST-012,40.754402,-73.973038,323
ST-013,40.769882,-74.019403,213
ST-014,40.794694,-73.955211,250
ST-015,40.720607,-73.940745,322
ST-016,40.803573,-73.940814,238
ST-017,40.778311,-74.019630,389
ST-018,40.758938,-73.952350,370
ST-019,40.772144,-74.004815,222
ST-020,40.756004,-73.962394,320
ST-021,40.740895,-73.942738,272
ST-022,40.736845,-74.008749,192
ST-023,40.799497,-73.989221,385
ST-024,40.793991,-73.992743,326
ST-025,40.794565,-74.003677,337
ST-026,40.742638,-73.982360,229
ST-027,40.769206,-73.946815,304
ST-028,40.784377,-73.973427,289
ST-029,40.763826,-73.969426,293
ST-030,40.775057,-73.964284,188
ST-031,40.720747,-74.012638,314
ST-032,40.716348,-74.007296,349
ST-033,40.743921,-73.988622,276
ST-034,40.730809,-73.980047,356
ST-035,40.724508,-73.935095,279
ST-036,40.767363,-73.972556,267
